X,Y,area real,Soccer,Basketball,Tennis,Ruins,ArtInstall,NGO,Government,Diplomatic,Coworking,Company,ArtGallery,Restaurant,Hotel,Cafe,Worship,Museum,Theatre,Hospital,University,School,ID,clusterID
3952639,4012084,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7440,3
3952484,4012248,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11774,3
3952476,4012171,1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11809,3
3952433,4012230,1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13528,3
3952477,4012155,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10194,3
3952562,4012140,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10248,3
3952544,4012133,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8545,3
3952704,4012110,1484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12026,3
3952422,4012108,1296,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,10338,3
3952416,4012299,1928,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17128,3
3953070,4014533,3060,0,0,0,0,2,2,0,2,0,0,0,9,0,4,3,0,1,0,0,0,411012,5
3953015,4014597,2520,0,0,0,0,2,2,0,0,0,0,0,9,0,4,3,0,1,0,0,0,399945,5
3953025,4014574,204,0,0,0,0,2,2,0,0,0,0,0,9,0,4,3,0,1,0,0,0,388552,5
3953173,4014576,6000,0,0,0,0,2,2,0,2,0,0,1,12,0,5,3,0,1,0,0,0,571550,5
3953027,4014648,4218,0,0,0,0,2,2,0,0,0,0,0,10,0,5,3,0,1,0,0,0,434380,5
3953017,4014651,1221,0,0,0,0,2,2,0,0,0,0,0,11,0,4,3,0,1,0,0,0,434417,5
3953062,4014637,2993,0,0,0,0,2,2,0,0,0,0,0,13,0,5,3,0,1,0,0,0,481422,5
3953052,4014627,2379,0,0,0,0,2,2,0,0,0,0,0,11,0,5,3,0,1,0,0,0,458055,5
3953107,4014631,2596,0,0,0,0,2,2,0,0,0,0,0,15,0,4,3,0,1,0,0,0,517088,5
3953112,4014663,1170,0,0,0,0,2,2,0,0,0,0,0,15,0,5,3,0,1,0,0,0,528885,5
3952961,4014651,1044,0,0,0,0,2,2,0,0,0,0,0,8,0,3,3,0,1,0,0,0,423144,5
3953052,4014638,117,0,0,0,0,2,2,0,0,0,0,0,11,0,5,3,0,1,0,0,0,458445,5
3953003,4014685,2067,0,0,0,0,3,2,0,0,0,0,0,10,0,4,3,0,1,0,0,0,473109,5
3953007,4014690,1280,0,0,0,0,3,2,0,0,0,0,0,11,0,4,3,0,1,0,0,0,485280,5
3952977,4014683,2242,0,0,0,0,2,2,0,0,0,0,0,9,0,4,3,0,1,0,0,0,461092,5
3952938,4014706,1855,0,0,0,0,2,2,0,0,0,0,0,8,0,3,3,0,1,0,0,0,424795,5
3953008,4014681,2028,0,0,0,0,3,2,0,0,0,0,0,11,0,4,3,0,1,0,0,0,473382,5
3953016,4014684,2223,0,0,0,0,3,2,0,0,0,0,0,11,0,4,3,0,1,0,0,0,473421,5
3953183,4014687,5400,0,0,0,0,2,2,0,0,0,1,1,11,0,5,2,0,1,0,0,0,546435,5
3953235,4014704,1932,0,0,0,0,2,2,0,0,0,1,1,12,0,5,2,0,1,0,0,0,558670,5
3953236,4014696,4922,0,0,0,0,2,2,0,0,0,1,1,12,0,5,2,0,1,0,0,0,558716,5
3953180,4014748,3080,0,0,0,0,2,2,0,1,0,1,1,11,0,5,2,0,1,0,0,0,552552,5
3953187,4014750,1232,0,0,0,0,2,2,0,1,0,1,1,11,0,5,2,0,1,0,0,0,552596,5
3953239,4014744,1880,0,0,0,0,2,2,0,1,0,1,1,12,0,5,2,0,1,0,0,0,590602,5
3953167,4014748,3096,0,0,0,0,2,2,0,1,0,0,1,11,0,5,2,0,1,0,0,0,540381,5
3953181,4014859,2318,0,0,0,0,1,2,0,1,0,0,1,11,0,5,2,0,1,0,0,0,493544,5
3952924,4014938,784,0,0,0,0,2,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,213232,3
3952995,4014976,80,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,106624,3
3952985,4014964,90,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,119961,3
3952996,4014941,28,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,186620,3
3953228,4014944,1920,0,0,0,0,1,0,0,1,0,0,1,6,0,3,0,0,0,0,0,0,266800,3
3953227,4014932,725,0,0,0,0,1,0,0,1,0,0,1,8,0,4,0,0,0,0,0,0,333525,7
3953163,4014961,784,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,106752,3
3953232,4014921,1160,0,0,0,0,1,0,0,1,0,0,1,10,0,5,0,0,0,0,0,0,387034,7
3953012,4014988,873,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,123615,8
3953022,4014992,496,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,109888,8
3953020,4014982,656,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,109896,8
3953043,4015001,512,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,109928,8
3953062,4015011,280,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,96194,8
3952724,4014953,484,0,0,0,0,4,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,293722,7
3952628,4015027,23,0,0,0,0,2,0,0,0,0,0,0,6,1,0,4,1,0,0,0,0,310868,0
3952594,4014989,868,0,0,0,1,3,0,0,0,0,0,0,6,1,0,4,1,0,0,0,0,378504,0
3949643,4015557,2665,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196183,3
3950001,4015641,2100,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,151240,3
3950005,4015602,2904,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,181536,6
3953060,4013336,1744,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,83248,3
3952836,4013332,3136,0,0,0,0,0,1,0,0,0,1,0,5,1,4,1,0,0,0,0,0,148764,8
3952807,4013267,2838,0,0,0,0,0,1,0,0,0,0,0,5,1,2,2,0,0,0,0,0,117172,4
3953090,4013385,2040,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,95370,3
3952714,4013406,3024,0,0,0,0,0,0,0,0,0,1,0,9,1,4,1,1,0,0,0,0,160020,0
3952763,4013415,7250,0,0,0,0,0,0,0,0,0,1,0,7,1,6,2,1,0,0,0,0,165793,0
3952690,4013367,3094,0,0,0,0,0,0,0,0,0,1,0,8,1,4,2,0,0,0,0,0,148720,8
3952738,4013387,3640,0,0,0,0,0,0,0,0,0,1,0,9,1,4,2,0,0,0,0,0,160272,8
3952868,4013360,3224,0,0,0,0,0,0,0,0,0,1,0,4,1,4,1,0,0,0,0,0,149006,8
3952892,4013352,3267,0,0,0,0,0,1,0,0,0,1,0,4,1,4,1,0,0,0,0,0,154899,8
3952805,4013491,3060,0,0,0,0,0,0,0,0,0,1,0,10,1,9,1,1,0,0,0,0,218772,0
3952676,4013442,416,0,0,0,0,0,0,0,0,0,1,0,7,0,4,1,1,0,0,0,0,158366,0
3952696,4013440,3024,0,0,0,0,0,0,0,0,0,1,0,7,0,4,1,1,0,0,0,0,164484,0
3952726,4013443,4495,0,0,0,0,0,0,0,0,0,1,0,7,1,7,1,1,0,0,0,0,188883,0
3952738,4013441,1920,0,0,0,0,0,0,0,0,0,1,0,7,1,7,1,1,0,0,0,0,182820,0
3952646,4013571,544,0,0,0,0,0,0,0,0,0,1,0,11,0,6,1,1,0,0,0,0,201184,0
3953081,4013545,3190,0,0,0,0,0,0,0,0,0,1,0,5,0,6,1,0,0,0,0,0,139326,8
3953082,4013534,2728,0,0,0,0,0,0,0,0,0,1,0,5,0,6,1,0,0,0,0,0,139568,8
3952941,4013576,1656,0,0,0,0,0,0,0,0,0,1,0,13,0,8,0,1,0,0,0,0,230508,0
3952899,4013579,252,0,0,0,0,0,0,0,0,0,1,0,17,0,9,0,1,0,0,0,0,269010,0
3952647,4013544,3104,0,0,0,0,0,0,0,0,0,1,0,11,0,7,1,1,0,0,0,0,206016,0
3952708,4013558,2736,0,0,0,0,0,0,0,0,0,1,0,13,0,9,1,1,0,0,0,0,244948,0
3952715,4013530,3780,0,0,0,0,0,0,0,0,0,1,0,12,0,9,1,1,0,0,0,0,232128,0
3952750,4013539,1188,0,0,0,0,0,0,0,0,0,1,0,12,0,9,1,1,0,0,0,0,232200,0
3952719,4013646,4095,0,0,0,0,0,0,0,0,0,1,0,15,0,8,1,1,0,0,0,0,260754,0
3952677,4013639,2844,0,0,0,0,0,0,0,0,0,1,0,14,0,7,1,1,0,0,0,0,240768,0
3952729,4013638,2184,0,0,0,0,0,0,0,0,0,1,0,15,0,8,1,1,0,0,0,0,260871,0
3952731,4013630,2145,0,0,0,0,0,0,0,0,0,1,0,15,0,8,1,1,0,0,0,0,260910,0
3952680,4013642,1008,0,0,0,0,0,0,0,0,0,1,0,14,0,7,1,1,0,0,0,0,241200,0
3952716,4013638,1840,0,0,0,0,0,0,0,0,0,1,0,15,0,8,1,1,0,0,0,0,268040,0
3952666,4013591,760,0,0,0,0,0,0,0,0,0,1,0,14,0,9,1,1,0,0,0,0,254676,0
3952666,4013604,222,0,0,0,0,0,0,0,0,0,1,0,13,0,9,1,1,0,0,0,0,248048,0
