X,Y,area real,Soccer,Basketball,Tennis,Ruins,ArtInstall,NGO,Government,Diplomatic,Coworking,Company,ArtGallery,Restaurant,Hotel,Cafe,Worship,Museum,Theatre,Hospital,University,School,clusterID
3952417,4011834,7936,6,3,1,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,1
3952729,4012062,6873,5,3,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1
3952692,4012067,6240,5,3,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,1
3952639,4012084,6030,5,3,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,1
3952702,4011922,7230,6,3,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,1
3952617,4011908,6720,6,3,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,1
3952435,4011907,7936,6,3,1,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,1
3952408,4011919,6400,6,3,1,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,1
3952297,4011918,6612,2,2,1,0,0,0,0,0,0,0,0,4,0,0,4,0,0,1,0,0,1
3952369,4011963,8092,5,3,1,0,0,0,0,0,0,0,0,3,0,0,4,0,0,1,0,0,1
3952320,4011977,7050,1,1,1,0,0,0,0,0,0,0,0,5,0,0,4,0,0,1,0,0,6
3952259,4012208,5250,0,0,1,0,0,0,0,0,0,0,0,6,0,0,4,0,0,1,0,0,6
3952254,4012191,5424,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,1,0,0,6
3952223,4012200,5325,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,1,0,0,6
3952338,4012163,5824,0,0,1,0,0,0,0,0,0,0,0,5,0,0,3,0,0,1,0,0,6
3952171,4012236,6032,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,1,0,0,6
3952484,4012248,6840,1,0,2,0,0,0,0,0,0,0,0,8,0,0,2,0,0,1,0,0,6
3952476,4012171,6780,2,0,2,0,0,0,0,0,0,0,0,6,0,0,2,0,0,1,0,0,6
3952433,4012230,6900,0,0,2,0,0,0,0,0,0,0,0,8,0,0,3,0,0,1,0,0,6
3952477,4012155,5829,2,0,2,0,0,0,0,0,0,0,0,6,0,0,2,0,0,1,0,0,6
3952562,4012140,6200,3,1,2,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,1
3952544,4012133,6752,3,1,2,0,0,0,0,0,0,0,0,6,0,0,2,0,0,1,0,0,1
3952715,4012107,7250,5,3,2,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,1
3952704,4012110,6148,5,3,2,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,1
3952422,4012108,6912,2,0,2,0,0,0,0,0,0,0,0,5,0,0,3,0,0,1,0,0,6
3952224,4012386,6510,0,0,1,0,0,0,0,0,0,0,0,9,0,0,4,0,0,1,0,0,6
3952221,4012333,6641,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,1,0,0,6
3952218,4012318,6757,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,1,0,0,6
3952162,4012280,7316,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,1,0,0,6
3952083,4012301,5974,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,1,0,0,6
3952067,4012293,5778,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,1,0,0,6
3952078,4012257,6750,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,1,0,0,6
3952124,4012314,6480,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,1,0,0,6
3952073,4012358,7099,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,1,0,0,6
3952416,4012299,7471,0,0,1,0,0,0,0,0,0,0,0,9,0,0,3,0,0,1,0,0,6
3952800,4012572,3672,0,0,1,0,0,1,1,1,0,0,1,6,1,0,4,0,0,0,1,0,8
3952742,4012622,5476,0,0,1,0,0,1,1,0,0,0,0,6,1,0,5,0,0,0,1,0,8
3952261,4012532,6360,0,0,1,0,0,0,0,0,0,0,0,9,0,0,4,0,0,1,0,0,6
3952291,4012583,7221,0,0,1,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,6
3952155,4012551,6200,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,6
3952125,4012463,5900,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,1,0,0,6
3952803,4012723,4922,0,0,1,0,0,2,1,1,0,0,1,8,1,0,4,0,0,0,1,0,8
3952709,4012640,4256,0,0,1,0,0,1,1,0,0,0,0,6,1,0,5,0,0,0,1,0,8
3952459,4012637,3604,0,0,1,0,0,0,1,0,0,0,0,8,0,0,3,0,0,0,0,0,6
3952558,4012752,5364,0,0,1,0,0,0,1,0,0,0,0,9,0,0,5,0,0,0,0,0,6
3952530,4012753,4572,0,0,1,0,0,0,1,0,0,0,0,10,0,0,5,0,0,0,0,0,6
3953068,4014285,5060,0,0,0,0,4,2,0,4,0,0,1,33,4,7,9,1,1,0,1,0,4
3952961,4014304,9095,0,0,0,1,4,2,0,3,0,0,0,29,4,6,10,1,1,0,1,0,4
3953225,4014324,16060,0,0,0,0,4,2,0,4,0,1,2,33,1,7,6,2,1,0,1,0,4
3953111,4014326,15930,0,0,0,0,4,2,0,4,0,0,2,32,4,8,7,1,1,0,1,0,4
3953113,4014312,16166,0,0,0,0,4,2,0,4,0,0,2,32,4,8,7,1,1,0,1,0,4
3952987,4014422,805,0,0,0,1,5,2,0,3,0,0,1,28,3,8,7,1,1,0,1,0,4
3952835,4014411,7632,0,0,0,1,5,2,2,3,0,0,0,23,5,6,10,1,1,0,2,0,4
3952881,4014408,436,0,0,0,1,5,2,1,3,0,0,0,26,4,7,8,1,1,0,2,0,4
3952946,4014421,4446,0,0,0,1,5,2,0,3,0,0,0,30,3,8,7,1,1,0,1,0,4
3953088,4014424,3094,0,0,0,0,5,2,0,4,0,1,1,32,3,8,6,1,1,0,1,0,4
3952704,4014464,5940,0,0,0,2,3,2,3,2,0,0,0,20,4,4,9,1,1,0,2,0,8
3952697,4014454,2900,0,0,0,2,3,2,3,2,0,0,0,20,4,4,9,1,1,0,2,0,8
3953030,4014519,3565,0,0,0,0,5,2,0,5,0,1,1,29,3,7,5,1,1,0,1,0,4
3953022,4014513,13340,0,0,0,0,5,2,0,5,0,1,1,29,3,7,5,1,1,0,1,0,4
3953048,4014512,6095,0,0,0,0,4,2,0,5,0,1,1,30,3,7,5,1,1,0,1,0,4
3953000,4014509,2622,0,0,0,1,5,2,0,4,0,1,1,28,3,7,5,1,1,0,1,0,4
3953009,4014460,9512,0,0,0,1,5,2,0,4,0,1,1,28,3,7,5,1,1,0,1,0,4
3952999,4014489,11252,0,0,0,1,5,2,0,4,0,1,1,28,3,7,5,1,1,0,1,0,4
3952938,4014504,6384,0,0,0,1,6,2,1,4,0,0,1,27,3,7,7,1,1,0,1,0,4
3953083,4014530,14042,0,0,0,0,4,2,0,5,0,1,1,35,3,9,5,1,1,0,1,0,4
3953070,4014533,9945,0,0,0,0,4,2,0,5,0,1,1,34,3,8,5,1,1,0,1,0,4
3952943,4014547,7659,0,0,0,1,5,2,1,4,0,0,1,26,3,7,7,1,1,0,1,0,4
3952960,4014534,5488,0,0,0,1,5,2,0,4,0,0,1,27,3,7,7,1,1,0,1,0,4
3953015,4014597,7920,0,0,0,0,5,2,0,6,0,1,1,27,3,7,5,1,1,0,1,0,4
3953025,4014574,642,0,0,0,0,4,2,0,5,0,1,1,28,3,7,5,1,1,0,1,0,4
3953173,4014576,13080,0,0,0,0,4,2,0,5,0,1,3,34,1,9,4,0,1,0,0,0,4
3953186,4014553,15008,0,0,0,0,5,2,0,5,0,1,3,34,1,8,4,1,1,0,1,0,4
3953027,4014648,12198,0,0,0,0,5,2,0,7,0,1,1,29,2,7,5,1,1,0,1,0,4
3953017,4014651,3531,0,0,0,0,5,2,0,6,0,1,1,28,3,7,5,1,1,0,1,0,4
3953062,4014637,8103,0,0,0,0,6,2,0,7,0,1,1,31,1,8,5,1,1,0,1,0,4
3953052,4014627,6771,0,0,0,0,5,2,0,7,0,1,1,30,2,8,5,1,1,0,1,0,4
3953107,4014631,6372,0,0,0,0,4,2,0,7,0,1,1,32,1,9,4,0,1,0,0,0,4
3953112,4014663,2782,0,0,0,0,4,2,0,7,0,1,1,33,1,9,4,0,1,0,0,0,4
3952961,4014651,3161,0,0,0,1,5,2,0,6,0,1,1,27,3,7,6,1,1,0,1,0,4
3953052,4014638,333,0,0,0,0,5,2,0,7,0,1,1,30,2,8,5,1,1,0,1,0,4
3953538,4014630,14125,0,0,0,0,5,3,1,4,0,1,6,37,0,12,5,1,1,1,0,0,4
3953003,4014685,5459,0,0,0,0,6,2,0,6,0,1,1,27,2,7,5,1,1,0,0,0,4
3953007,4014690,3104,0,0,0,0,6,2,0,6,0,1,1,27,1,7,4,0,1,0,0,0,4
3952977,4014683,6254,0,0,0,1,6,2,0,6,0,1,1,27,3,7,5,1,1,0,1,0,4
3952938,4014706,5671,0,0,0,1,6,2,2,6,0,1,1,26,4,7,5,1,1,0,0,0,4
3953008,4014681,5304,0,0,0,0,6,2,0,6,0,1,1,27,2,7,4,1,1,0,0,0,4
3953016,4014684,5643,0,0,0,0,6,2,0,6,0,1,1,28,1,7,4,0,1,0,0,0,4
3953183,4014687,12960,0,0,0,0,4,2,0,7,0,1,4,36,1,8,4,0,1,0,0,0,4
3953235,4014704,4788,0,0,0,0,4,3,0,6,0,1,5,36,0,10,4,0,1,1,0,0,4
3953236,4014696,12305,0,0,0,0,4,3,0,6,0,1,5,36,0,10,4,1,1,1,0,0,4
3953345,4014703,8475,0,0,0,0,5,3,0,4,0,1,5,35,0,9,5,1,1,1,0,0,4
3953355,4014702,4255,0,0,0,0,5,3,0,4,0,1,5,36,0,9,5,1,1,1,0,0,4
3953364,4014702,10710,0,0,0,0,5,3,0,4,0,1,5,37,0,9,5,1,1,1,0,0,4
