"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","W4Efsd 8","lcr4fd href","EgL07d src","R8c4Qb","EgL07d src 2","R8c4Qb 2","Jn12ke src","ah5Ghc","W6VQef"
"","","","","","","","","","","","","","","","","","",""
"https://www.google.es/maps/place/Beirut+General+Hospital/data=!4m7!3m6!1s0x151f17465597a82b:0x68c623819ffa720b!8m2!3d33.8725557!4d35.4918104!16s%2Fg%2F11cr_7lcd0!19sChIJK6iXVUYXHxURC3L6n4Ejxmg?authuser=0&hl=es&rclk=1","Beirut General Hospital","3,8","(15)","·","Hospital","VFCR+QRC","·","Abierto ahora","·","+961 1 850 213","http://beirutgeneralhospital.com/","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","",""
"https://www.google.es/maps/place/Beirut+Governmental+Hospital+-+Karantina/data=!4m7!3m6!1s0x151f1667849e7d69:0xb1a8f15330bcdf6a!8m2!3d33.9023082!4d35.529394!16s%2Fg%2F11dx9fhrpl!19sChIJaX2ehGcWHxURat-8MFPxqLE?authuser=0&hl=es&rclk=1","Beirut Governmental Hospital - Karantina","3,4","(17)","·","Hospital","WG2H+WQC","·","+961 1 442 105","","","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","",""
"https://www.google.es/maps/place/Hospital+Wardieh/data=!4m7!3m6!1s0x151f16fa69b7f6ed:0xb0575cf9a0ad9634!8m2!3d33.8957371!4d35.5149465!16s%2Fg%2F11cr_flvbk!19sChIJ7fa3afoWHxURNJatoPlcV7A?authuser=0&hl=es&rclk=1","Hospital Wardieh","4,3","(6)","·","Hospital","VGW7+7XW","·","Abierto ahora","·","+961 1 581 140","http://www.hopitalrosaire.org/","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","",""
"https://www.google.es/maps/place/Rafic+Hariri+University+Hospital/data=!4m7!3m6!1s0x151f175afa9b00b5:0xe9b3d02652e83b0e!8m2!3d33.8634295!4d35.4913267!16s%2Fg%2F1tds8yt4!19sChIJtQCb-loXHxURDjvoUibQs-k?authuser=0&hl=es&rclk=1","Rafic Hariri University Hospital","3,5","(150)","·","Hospital universitario","VF7R+9GG","·","Abierto 24 horas","·","+961 1 830 000","http://www.bguh.gov.lb/","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""... Governmental Hospital is the first in Beirut, and the departments in ...""","·"
"https://www.google.es/maps/place/Roum+Hospital+%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89+%D8%A7%D9%84%D8%B1%D9%88%D9%85+JN%E2%80%AD/data=!4m7!3m6!1s0x151f165829a46e1d:0xdac7a31e0d08ae33!8m2!3d33.8938527!4d35.5242867!16s%2Fg%2F11d_7rnkkb!19sChIJHW6kKVgWHxURM64IDR6jx9o?authuser=0&hl=es&rclk=1","Roum Hospital مستشفى الروم JN","3,7","(15)","·","Hospital","VGVF+GPV","·","Abierto 24 horas","·","+961 1 575 700","http://www.stgeorgehospital.org/","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Al-Roum Hospital in Beirut and its departments are heading to the ...""","·"
"https://www.google.es/maps/place/Khoury+Hospital/data=!4m7!3m6!1s0x151f16d6720675a7:0x77477d40a41c6a00!8m2!3d33.8984888!4d35.4841407!16s%2Fg%2F1w0zq9nh!19sChIJp3UGctYWHxURAGocpEB9R3c?authuser=0&hl=es&rclk=1","Khoury Hospital","4,0","(29)","·","Hospital","VFXM+9MR","·","Abierto 24 horas","·","+961 1 344 173","http://bmg.com.lb/","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","",""
"https://www.google.es/maps/place/BMG+-+Bikhazi+Medical+Group/data=!4m7!3m6!1s0x151f16d673a9f19f:0xb0d7338af146e237!8m2!3d33.898572!4d35.4841872!16s%2Fg%2F11b6gcxs5v!19sChIJn_Gpc9YWHxURN-JG8Yoz17A?authuser=0&hl=es&rclk=1","BMG - Bikhazi Medical Group","3,4","(11)","·","Hospital","·","+961 1 742 140","Abierto 24 horas","","","http://bmg.com.lb/","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","",""
"https://www.google.es/maps/place/Najjar+Hospital/data=!4m7!3m6!1s0x151f16d7d3d17cd9:0xc2503e7dd22a6347!8m2!3d33.8968457!4d35.4867138!16s%2Fg%2F1tjxzw1p!19sChIJ2XzR09cWHxURR2Mq0n0-UMI?authuser=0&hl=es&rclk=1","Najjar Hospital","3,8","(50)","·","Hospital","VFWP+PMP، Hamra Wardiyeh area","·","·","Abierto 24 horas","+961 1 340 626","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","",""
"https://www.google.es/maps/place/Cl%C3%A9menceau+Medical+Center/data=!4m7!3m6!1s0x151f16d8352e0d1d:0x839bc8da46558547!8m2!3d33.8976714!4d35.4901866!16s%2Fg%2F11g6bl7tmg!19sChIJHQ0uNdgWHxURR4VVRtrIm4M?authuser=0&hl=es&rclk=1","Clémenceau Medical Center","3,9","(217)","·","Hospital","St","·","Abierto 24 horas","·","+961 1 372 888","https://www.cmc.com.lb/","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","",""
