full_id,osm_id,osm_type,amenity,website,internet_access:ssid,addr:postcode,diet:vegan,capacity,addr:housenumber,operator,shop,payment:visa,payment:debit_cards,payment:coins,payment:cash,payment:cards,diet:vegetarian,diet:organic,contact:email,bar,air_conditioning,delivery,level,smoking,branch,name:de,internet_access:fee,addr:housename,internet_access,description,contact:mobile,addr:street,addr:city,wheelchair,takeaway,official_name:en,official_name:ar,official_name,contact:website,brand:wikipedia,brand:wikidata,brand:en,brand:ar,brand,alt_name,outdoor_seating,opening_hours,name_alt,name:fr,name:en,name:ar,name,cuisine,contact:phone
n512476044,"512476044",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Mo-Su 07:00-01:00,روسا كافيه,Rossa Café,Rossa Café,روسّا كافيه,Rossa Cafe,coffee_shop,"+9611343339"
n514002593,"514002593",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,كافي دو براغ,,,,Café de Prague,Café de Prague,كافي دو براغ,كافي دو براغ,,
n514012077,"514012077",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,Starbucks Coffee,ستاربكس كافية,ستاربكس كافية,https://www.starbucks.com/,ar:ستاربكس,Q37158,Starbucks,ستاربكس,ستاربكس,ستاربكس,,,,Starbucks,Starbucks,ستاربكس,ستاربكس,coffee_shop,"+9611744305"
n733940549,"733940549",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,no,"Offering everything from American coffee to espressos to gingerbread men and lazy cake, you can't pass by Bliss Street without indulging in some Latte Art.","+9613030745",شارع بليس,الحمراء,,,,,,https://www.facebook.com/LatteArtLebanon/,,,,,,جابانيز بليز,no,24/7,,,Latte Art,,Latte Art,"coffee;tea",
n1200073866,"1200073866",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Starbucks Coffee,ستاربكس كافية,ستاربكس كافية,,ar:ستاربكس,Q37158,Starbucks,ستاربكس,ستاربكس,,,,,Starbucks,Starbucks,ستاربكس,ستاربكس,coffee_shop,
n1376623219,"1376623219",node,cafe,,,,,,,,,,,,,,,,,,,,,,,AltCity,no,Montreal cinema / Carre bldg,wlan,,,شارع الحمرا,,,,,,,http://www.altcity.me,,,,,,آلت سيتي,,,,AltCity,AltCity,آلت سيتي,Old City,international,
n2214678893,"2214678893",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,شارع جان دارك,,,,,,,,,,,,,,,,,Plat d'Or,Plat d'Or,كافي بلا دور,كافي بلا دور,,
n2214678911,"2214678911",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,شارع الحمرا,,,,,,,,,,,,,,,,,,Caribou Coffee,كاريبو كوفي,كاريبو كوفي,,
n2670997653,"2670997653",node,cafe,,,,,,,,,,,,,,,,,,,,,,"Starbucks Sassine Square, Achrafieh",Starbucks,,,,,,,,,yes,Starbucks Coffee,ستاربكس كافية,ستاربكس كافية,,ar:ستاربكس,Q37158,Starbucks,ستاربكس,ستاربكس,,,,,,Starbucks,ستاربكس,ستاربكس,coffee_shop,
n3244868752,"3244868752",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,Café Younès,Café Younes,كافيه يونس,Cafe Younes,,
n3244888061,"3244888061",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,Urbanista,,Urbanista,,
n3254294561,"3254294561",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bar Tartine,,Bar Tartine,,
n3299089497,"3299089497",node,cafe,,,,,,,,,,,,,,,,,,,,,,,Starbucks,,,,,,,,,yes,,,ستاربكس كفي,,ar:ستاربكس,Q37158,,,ستاربكس,,,,,,Starbucks,ستاربكس,ستاربكس,coffee_shop,
n3400482004,"3400482004",node,cafe,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_shop,
n3668525664,"3668525664",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Café Younes,Café Younes,كافيه يونس,كافيه يونس,,
n3727967943,"3727967943",node,cafe,,,,,,,,,,,,,,,,,,,,,,,Starbucks,,,,,,,,yes,yes,,,ستاربكس كفي,,ar:ستاربكس,Q37158,Starbucks,,ستاربكس,,,,,Starbucks,Starbucks,ستاربكس,ستاربكس,coffee_shop,
n3728067323,"3728067323",node,cafe,,,,,,,,,,,,,,,,,,,,,,,Starbucks,,,,,,,,,yes,,,ستاربكس كفي,,ar:ستاربكس,Q37158,Starbucks,,ستاربكس,,,,,,Starbucks,ستاربكس,ستاربكس,coffee_shop,
n4104580207,"4104580207",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City Cafe,,سيتي كافه,سيتي كافه,,
n4319669896,"4319669896",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أوتستراد هادي نصرالله,,,,,,,,,,,,,,,,,,,استراحة أبو هادي,استراحة أبو هادي,,
n4417760198,"4417760198",node,cafe,,,,,,,,,,,,,,,,,,,,,,,Caribou Coffee,,,,,,,,,yes,,,,,ar:,Q5039494,,كاريبو كفي,كاريبو كفي,,,,,,Caribou Coffee,كاريبو كفي,Caribo Cafe,coffee_shop,
n4472432291,"4472432291",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abu hadi shukair,أبو هادي شقير,أبو هادي شقير,,
n4477139789,"4477139789",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Starbucks Coffee,ستاربكس كافية,ستاربكس كافية,,ar:ستاربكس,Q37158,Starbucks,ستاربكس,ستاربكس,,,,,,Starbucks,ستاربكس,ستاربكس,coffee_shop,
n4477772589,"4477772589",node,cafe,,,,,,,,,,,,,,,,,,,,,,,Keif,,,wlan,,,شارع يوسف كرم,,,,,,,,,,,,,,,Mo-Su 10:00-02:00,,,Keif,,Keif,"burger;sandwich;pasta;lebanese;international;chicken;coffee_shop",
n4478358692,"4478358692",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,yes,,,,Cafe Em Nazih,Cafe Em Nazih,Cafe Em Nazih,,
n4572036690,"4572036690",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,شارع الحمرا,,,,,,,,,,,,,,,,,Barjees cafe,Barjees cafe,برجيس,برجيس,international,
n4586884992,"4586884992",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kissproof,,Kissproof,,
n4602427696,"4602427696",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moka lounge verdun,,moka lounge verdun,,
n4708483089,"4708483089",node,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75",,,,,,,,,,,,,,,,,,,,Chalalopa Café,,
n4711742994,"4711742994",node,cafe,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,Cuentista,Cuentista,,Cuentista,,
n4711833223,"4711833223",node,cafe,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,شارع ألفريد نقاش,بيروت,,,,,,,,,,,,,,,,Achrafiyya Cafe,Achrafieh Cafe,مقهى الأشرفية,مقهى الأشرفية,,
n4715150057,"4715150057",node,cafe,,,,,,,,,,,,,,,,,,,,,outside,,,no,,wlan,,,,,,,,,,,,,,,,,yes,,,,Aaliya's,,Aaliya's,,
n4725603454,"4725603454",node,cafe,,,,,,,,,,,,,,,,,,,no,"4",,,,no,,wlan,,,,,,no,,,,,,,,,,,,,,,,,Coop d'état,,
