"hfpxzc href","qBF1Pd","fontBodyMedium","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","EgL07d src","R8c4Qb","W4Efsd 5","W4Efsd 6","MW4etd","UY7F9","W4Efsd 7","W4Efsd 8","lcr4fd href","EgL07d src 2","R8c4Qb 2","W4Efsd 9"
"","","","","","","","","","","","","","","","","","",""
"https://www.google.es/maps/place/COLLEGE+IMMACULATE+CONCEPTION/data=!4m7!3m6!1s0x151f16fdeb698f3f:0xa04515ab0451f854!8m2!3d33.8947996!4d35.5256512!16s%2Fg%2F11c0xpg7gc!19sChIJP49p6_0WHxURVPhRBKsVRaA?authuser=0&hl=es&rclk=1","COLLEGE IMMACULATE CONCEPTION","No hay reseñas","·","Escuela comunitaria","·","VGVG+W76","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","","","","","",""
"https://www.google.es/maps/place/CIS+College+Spears/data=!4m7!3m6!1s0x151f17415c5f318d:0x41afddb172000334!8m2!3d33.8932927!4d35.495881!16s%2Fg%2F11k3hlwlf7!19sChIJjTFfXEEXHxURNAMAcrHdr0E?authuser=0&hl=es&rclk=1","CIS College Spears","No hay reseñas","·","·","Spears","·","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","Abierto","⋅ Cierra a las 17:00","","","","","","","",""
"https://www.google.es/maps/place/United+Armenian+College+-+UAC/data=!4m7!3m6!1s0x151f1639eae9e7d5:0x4124dfbf34cbdec3!8m2!3d33.8866989!4d35.5478844!16s%2Fg%2F11gbwllcfs!19sChIJ1efp6jkWHxURw97LNL_fJEE?authuser=0&hl=es&rclk=1","United Armenian College - UAC","","·","Escuela","·","VGPX+M5C","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","Abierto 24 horas","","4,3","(6)","·","","","","",""
"https://www.google.es/maps/place/College+Notre+Dame+de+Nazareth/data=!4m7!3m6!1s0x151f1702e3a4abbf:0xe0cd859bce7838bb!8m2!3d33.8860206!4d35.5113449!16s%2Fg%2F11c0rhnzd9!19sChIJv6uk4wIXHxURuzh4zpuFzeA?authuser=0&hl=es&rclk=1","College Notre Dame de Nazareth","","·","Escuela universitaria","·","165108","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","Abierto 24 horas","4,2","(34)","·","+961 1 327 150","http://www.ndn.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar",""
"https://www.google.es/maps/place/International+College/data=!4m7!3m6!1s0x151f3f2620d97ac3:0x77daa6e57d8df6c0!8m2!3d33.8996413!4d35.4776053!16s%2Fm%2F02q9_6f!19sChIJw3rZICY_HxURwPaNfeWm2nc?authuser=0&hl=es&rclk=1","International College","","·","Colegio privado","·","VFXH+V25","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","Cerrado","4,0","(57)","·","+961 1 374 980","http://www.ic.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","⋅ Apertura: 8:30 (vie)"
"https://www.google.es/maps/place/Armenian+Evangelical+College/data=!4m7!3m6!1s0x151f16d8e5267b09:0x7c0223fa54e3af4d!8m2!3d33.89635!4d35.4926983!16s%2Fg%2F11_sp9twm!19sChIJCXsm5dgWHxURTa_jVPojAnw?authuser=0&hl=es&rclk=1","Armenian Evangelical College","","·","Universidad","·","College Building","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","5,0","(7)","·","+961 1 349 816","","","",""
"https://www.google.es/maps/place/College+protestant+fran%C3%A7ais/data=!4m7!3m6!1s0x151f17389c8c7373:0xecf0dcfec614fd0c!8m2!3d33.8926471!4d35.5110431!16s%2Fg%2F11jzw4blh0!19sChIJc3OMnDgXHxURDP0Uxv7c8Ow?authuser=0&hl=es&rclk=1","College protestant français","No hay reseñas","·","Instituto de secundaria","·","VGV6+3C3, Lebanon","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","","","","","",""
"https://www.google.es/maps/place/Dental+college/data=!4m7!3m6!1s0x151f17ecacd91a09:0x8f0907199763ed63!8m2!3d33.8526405!4d35.5438443!16s%2Fg%2F11c5wcdqxz!19sChIJCRrZrOwXHxURY-1jlxkHCY8?authuser=0&hl=es&rclk=1","Dental college","No hay reseñas","·","Escuela universitaria","·","VG3V+3G5","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","","","","","",""
"https://www.google.es/maps/place/%D8%A7%D9%84%D9%85%D9%82%D8%B1+%D8%A7%D9%84%D8%B9%D8%A7%D9%85+%D9%84%D8%A7%D9%87%D9%84+%D8%A7%D9%84%D8%B3%D9%86%D9%87+%D9%88%D8%A7%D9%84%D8%AC%D9%85%D8%A7%D8%B9%D8%B9%E2%80%AD/data=!4m7!3m6!1s0x151f170b6404fc05:0x9f3cdc12170ce7de!8m2!3d33.8859158!4d35.4982943!16s%2Fg%2F11rw7h8ykk!19sChIJBfwEZAsXHxUR3ucMFxLcPJ8?authuser=0&hl=es&rclk=1","المقر العام لاهل السنه والجماعع","No hay reseñas","·","Escuela universitaria","·","VFPX+987","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","Cerrado","⋅ Apertura: 0:00 (dom)","","","·","","","","",""
"https://www.google.es/maps/place/e+learning/data=!4m7!3m6!1s0x151f1739d02cea39:0x262b2a3f16a620d!8m2!3d33.8674989!4d35.4985486!16s%2Fg%2F11n93ql_kz!19sChIJOeos0DkXHxURDWJq8aOyYgI?authuser=0&hl=es&rclk=1","e learning","No hay reseñas","·","·","VF8X+XCV","·","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","Abierto","⋅ Cierra a las 18:00","","","","","","","",""
