"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","EgL07d src","R8c4Qb","W4Efsd 7","W4Efsd 8","W4Efsd 9","lcr4fd href","EgL07d src 2","R8c4Qb 2"
"","","","","","","","","","","","","","","","","",""
"https://www.google.es/maps/place/Wellspring+learning+school/data=!4m7!3m6!1s0x151f1775964ab8c5:0xc2aa7b8b4b32187!8m2!3d33.8645339!4d35.5233493!16s%2Fm%2F0806db6!19sChIJxbhKlnUXHxURhyGztLinKgw?authuser=0&hl=es&rclk=1","Wellspring learning school","3,8","(28)","·","Escuela","·","VG7F+R89","·","+961 1 283 683","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Chafic+Sa3eid+Public+School+for+Boys/data=!4m7!3m6!1s0x151f179fe4041acf:0xeaa79825742c8791!8m2!3d33.8642114!4d35.522367!16s%2Fg%2F11f3bcd5s0!19sChIJzxoE5J8XHxURkYcsdCWYp-o?authuser=0&hl=es&rclk=1","Chafic Sa3eid Public School for Boys","","","·","Escuela","·","VG7C+MWQ","","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Mar+Mansour+School/data=!4m7!3m6!1s0x151f17bc830431d1:0xec0913e3f3469a9b!8m2!3d33.8891707!4d35.5217449!16s%2Fg%2F11g0kgqlwk!19sChIJ0TEEg7wXHxURm5pG8-MTCew?authuser=0&hl=es&rclk=1","Mar Mansour School","","","·","Escuela","·","VGQC+MM9","","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Wellspring+Learning+Community+(Mathaf+Campus)/data=!4m7!3m6!1s0x151f17069aaa2d1d:0x51e3b73c903d6e6c!8m2!3d33.8796293!4d35.5171858!16s%2Fg%2F11c5rv3wvd!19sChIJHS2qmgYXHxURbG49kDy341E?authuser=0&hl=es&rclk=1","Wellspring Learning Community (Mathaf Campus)","3,7","(16)","·","Escuela","·","VGH8+VV3","·","+961 1 423 444","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Adduha+High+School/data=!4m7!3m6!1s0x151f176ec072ba3d:0x3690bc867e19f756!8m2!3d33.86406!4d35.5070886!16s%2Fg%2F11f03wrqmq!19sChIJPbpywG4XHxURVvcZfoa8kDY?authuser=0&hl=es&rclk=1","Adduha High School","5,0","(5)","·","Escuela","·","Al-Naamani","·","·","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","Cerrado","⋅ Apertura: 7:30 (vie)","+961 1 544 901","","",""
"https://www.google.es/maps/place/Torossian+Armenian+Evangelical+Intermediate+School/data=!4m7!3m6!1s0x151f1639670ece55:0x1852d9218865c566!8m2!3d33.8891459!4d35.5488977!16s%2Fg%2F11hcdvn1xb!19sChIJVc4OZzkWHxURZsVliCHZUhg?authuser=0&hl=es&rclk=1","Torossian Armenian Evangelical Intermediate School","","","·","Escuela","·","VGQX+MH2","·","+961 1 265 521","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","",""
"https://www.google.es/maps/place/Adventist+Secondary+School/data=!4m7!3m6!1s0x151f173ad91bee87:0xc278bdf718e35c6d!8m2!3d33.8841711!4d35.4916894!16s%2Fg%2F11c48fl96j!19sChIJh-4b2ToXHxURbVzjGPe9eMI?authuser=0&hl=es&rclk=1","Adventist Secondary School","4,1","(12)","·","Escuela","·","VFMR+MM8","·","Cerrado","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","⋅ Apertura: 12:00 (vie)","·","+961 1 819 742","http://mass.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar"
"https://www.google.es/maps/place/School/data=!4m7!3m6!1s0x151f172abb6367ef:0x894b1eabe78f1dd8!8m2!3d33.898142!4d35.4792729!16s%2Fg%2F11c12l6pd_!19sChIJ72djuyoXHxUR2B2P56seS4k?authuser=0&hl=es&rclk=1","School","","","·","Colegio público","·","VFXH+7P2","·","","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","Cerrado","⋅ Apertura: 7:30 (vie)","","","",""
"https://www.google.es/maps/place/Greater+Beirut+Evangelical+School/data=!4m7!3m6!1s0x151f16552861905b:0x71c4e16412c5b89f!8m2!3d33.8844289!4d35.524575!16s%2Fg%2F11c2md19nf!19sChIJW5BhKFUWHxURn7jFEmThxHE?authuser=0&hl=es&rclk=1","Greater Beirut Evangelical School","4,6","(12)","·","Escuela","·","VGMF+QRG","·","Abierto","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","⋅ Cierra a las 4:00","·","+961 1 423 589","http://www.gbesedu.org/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar"
